title,artist,genre,mood,energy,language,scene,popularity,tempo,danceability,valence
Cruel Summer,Taylor Swift,Pop,happy,high,English,party,92,fast,82,78
Style,Taylor Swift,Pop,chill,medium,English,commute,88,medium,76,68
Lover,Taylor Swift,Pop,romantic,medium,English,relaxing,86,medium,64,74
Anti-Hero,Taylor Swift,Pop,emotional,medium,English,commute,90,medium,70,50
Shake It Off,Taylor Swift,Pop,happy,high,English,party,91,fast,86,82
Blank Space,Taylor Swift,Pop,energetic,high,English,party,89,fast,75,62
Levitating,Dua Lipa,Pop,happy,high,English,party,91,fast,88,84
Don't Start Now,Dua Lipa,Pop,energetic,high,English,workout,92,fast,90,80
New Rules,Dua Lipa,Pop,energetic,high,English,party,86,fast,80,70
Physical,Dua Lipa,Pop,energetic,high,English,workout,84,fast,82,73
As It Was,Harry Styles,Pop,chill,medium,English,walking,90,medium,72,60
Watermelon Sugar,Harry Styles,Pop,happy,high,English,party,88,fast,84,86
Late Night Talking,Harry Styles,Pop,happy,medium,English,commute,84,medium,80,77
Adore You,Harry Styles,Pop,romantic,medium,English,relaxing,84,medium,71,75
Bad Guy,Billie Eilish,Pop,chill,medium,English,walking,89,medium,78,40
Ocean Eyes,Billie Eilish,Pop,sad,low,English,sleep,82,slow,45,35
Everything I Wanted,Billie Eilish,Pop,emotional,low,English,relaxing,84,slow,50,38
Happier Than Ever,Billie Eilish,Pop,emotional,medium,English,relaxing,85,medium,46,44
Birds of a Feather,Billie Eilish,Pop,romantic,medium,English,relaxing,91,medium,70,72
Espresso,Sabrina Carpenter,Pop,happy,high,English,party,93,fast,86,84
Feather,Sabrina Carpenter,Pop,happy,high,English,walking,85,fast,82,78
Please Please Please,Sabrina Carpenter,Pop,romantic,medium,English,commute,88,medium,73,64
Flowers,Miley Cyrus,Pop,hopeful,medium,English,walking,90,medium,78,76
Wrecking Ball,Miley Cyrus,Pop,sad,medium,English,relaxing,84,medium,52,38
Party In The U.S.A.,Miley Cyrus,Pop,happy,high,English,party,86,fast,82,88
Teenage Dream,Katy Perry,Pop,happy,high,English,party,87,fast,80,86
Firework,Katy Perry,Pop,hopeful,high,English,workout,85,fast,70,82
Roar,Katy Perry,Pop,hopeful,high,English,workout,83,fast,72,80
California Gurls,Katy Perry,Pop,happy,high,English,party,84,fast,86,88
